料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
おおむぎ　大麦めん　乾,おおむぎ おおむぎめん いぬい,343.0,12.9,1.7,68.0,0.0
おおむぎ　大麦めん　ゆで,おおむぎ おおむぎめん ゆで,121.0,4.8,0.6,24.3,0.0
おおむぎ　麦こがし,おおむぎ むぎこがし,368.0,12.5,5.0,77.1,0.0
キヌア　玄穀,きぬあ げんたなつもの,344.0,13.4,3.2,69.0,0.0
きび　精白粒,きび せいはくつぶ,353.0,11.3,3.3,70.9,0.0
こむぎ　［玄穀］　国産　普通,こむぎ ［げんたなつもの］ こくさん ふつう,329.0,10.8,3.1,72.1,0.0
こむぎ　［玄穀］　輸入　軟質,こむぎ ［げんたなつもの］ ゆにゅう なんしつ,344.0,10.1,3.3,75.2,0.0
こむぎ　［玄穀］　輸入　硬質,こむぎ ［げんたなつもの］ ゆにゅう こうしつ,332.0,13.0,3.0,69.4,0.0
こむぎ　［小麦粉］　薄力粉　1等,こむぎ ［こむぎこ］ はくりきこ 1とう,349.0,8.3,1.5,75.8,0.0
こむぎ　［小麦粉］　薄力粉　2等,こむぎ ［こむぎこ］ はくりきこ 2とう,345.0,9.3,1.9,74.3,0.0
こむぎ　［小麦粉］　中力粉　1等,こむぎ ［こむぎこ］ ちゅうりきこ 1とう,337.0,9.0,1.6,75.1,0.0
こむぎ　［小麦粉］　中力粉　2等,こむぎ ［こむぎこ］ ちゅうりきこ 2とう,346.0,9.7,1.8,74.0,0.0
こむぎ　［小麦粉］　強力粉　1等,こむぎ ［こむぎこ］ きょうりきこ 1とう,337.0,11.8,1.5,71.7,0.0
こむぎ　［小麦粉］　強力粉　2等,こむぎ ［こむぎこ］ きょうりきこ 2とう,343.0,12.6,1.7,70.6,0.0
こむぎ　［小麦粉］　強力粉　全粒粉,こむぎ ［こむぎこ］ きょうりきこ ぜんりゅうふん,320.0,12.8,2.9,68.2,0.0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,こむぎ ［こむぎこ］ ぷれみっくすこな おこのみやきよう,335.0,10.1,1.9,73.6,0.0
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,こむぎ ［こむぎこ］ ぷれみっくすこな ほっとけーきよう,360.0,7.8,4.0,74.4,0.0
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,こむぎ ［こむぎこ］ ぷれみっくすこな からあげよう,311.0,10.2,1.2,70.0,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,こむぎ ［こむぎこ］ ぷれみっくすこな てんぷらよう,337.0,8.8,1.3,76.1,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,こむぎ ［こむぎこ］ ぷれみっくすこな てんぷらよう ばったー,132.0,3.3,0.5,30.2,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ ［こむぎこ］ ぷれみっくすこな てんぷらよう ばったー あげ,588.0,4.3,47.7,37.0,0.0
こむぎ　［パン類］　角形食パン　食パン,こむぎ ［ぱんるい］ かくがたしょくぱん しょくぱん,248.0,8.9,4.1,46.4,0.0
こむぎ　［パン類］　角形食パン　焼き,こむぎ ［ぱんるい］ かくがたしょくぱん やき,269.0,9.7,4.5,50.6,0.0
こむぎ　［パン類］　角形食パン　耳を除いたもの,こむぎ ［ぱんるい］ かくがたしょくぱん みみをのぞいたもの,226.0,8.2,3.7,42.6,0.0
こむぎ　［パン類］　角形食パン　耳,こむぎ ［ぱんるい］ かくがたしょくぱん みみ,273.0,9.7,4.5,50.8,0.0
こむぎ　［パン類］　食パン　リーンタイプ,こむぎ ［ぱんるい］ しょくぱん りーんたいぷ,246.0,8.0,3.7,47.5,0.0
こむぎ　［パン類］　食パン　リッチタイプ,こむぎ ［ぱんるい］ しょくぱん りっちたいぷ,256.0,7.8,6.0,45.6,0.0
こむぎ　［パン類］　山形食パン　食パン,こむぎ ［ぱんるい］ やまがたしょくぱん しょくぱん,246.0,7.8,3.5,47.9,0.0
こむぎ　［パン類］　コッペパン,こむぎ ［ぱんるい］ こっぺぱん,259.0,8.5,3.8,49.1,0.0
こむぎ　［パン類］　乾パン,こむぎ ［ぱんるい］ かんぱん,386.0,9.5,4.4,78.8,0.0
こむぎ　［パン類］　フランスパン,こむぎ ［ぱんるい］ ふらんすぱん,289.0,9.4,1.3,57.5,0.0
こむぎ　［パン類］　ライ麦パン,こむぎ ［ぱんるい］ らいむぎぱん,252.0,8.4,2.2,52.7,0.0
こむぎ　［パン類］　全粒粉パン,こむぎ ［ぱんるい］ ぜんりゅうふんぱん,251.0,7.9,5.7,45.5,0.0
こむぎ　［パン類］　ぶどうパン,こむぎ ［ぱんるい］ ぶどうぱん,263.0,8.2,3.5,51.1,0.0
こむぎ　［パン類］　ロールパン,こむぎ ［ぱんるい］ ろーるぱん,309.0,10.1,9.0,48.6,0.0
こむぎ　［パン類］　クロワッサン　レギュラータイプ,こむぎ ［ぱんるい］ くろわっさん れぎゅらーたいぷ,406.0,6.5,20.4,51.5,0.0
こむぎ　［パン類］　クロワッサン　リッチタイプ,こむぎ ［ぱんるい］ くろわっさん りっちたいぷ,438.0,7.9,26.8,43.9,0.0
こむぎ　［パン類］　くるみパン,こむぎ ［ぱんるい］ くるみぱん,292.0,8.2,12.6,38.7,0.0
こむぎ　［パン類］　イングリッシュマフィン,こむぎ ［ぱんるい］ いんぐりっしゅまふぃん,224.0,8.1,3.6,40.8,0.0
こむぎ　［パン類］　ナン,こむぎ ［ぱんるい］ なん,257.0,10.3,3.4,47.6,0.0
こむぎ　［パン類］　ベーグル,こむぎ ［ぱんるい］ べーぐる,270.0,9.6,2.0,54.6,0.0
こむぎ　［うどん・そうめん類］　うどん　生,こむぎ ［うどん・そうめんるい］ うどん なま,249.0,6.1,0.6,56.8,0.0
こむぎ　［うどん・そうめん類］　うどん　ゆで,こむぎ ［うどん・そうめんるい］ うどん ゆで,95.0,2.6,0.4,21.6,0.0
こむぎ　［うどん・そうめん類］　うどん　半生うどん,こむぎ ［うどん・そうめんるい］ うどん はんせいうどん,296.0,7.8,3.4,62.5,0.0
こむぎ　［うどん・そうめん類］　干しうどん　乾,こむぎ ［うどん・そうめんるい］ ほしうどん いぬい,333.0,8.5,1.1,71.9,0.0
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,こむぎ ［うどん・そうめんるい］ ほしうどん ゆで,117.0,3.1,0.5,25.8,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,こむぎ ［うどん・そうめんるい］ そうめん・ひやむぎ いぬい,333.0,9.5,1.1,72.7,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,こむぎ ［うどん・そうめんるい］ そうめん・ひやむぎ ゆで,114.0,3.5,0.4,25.8,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,こむぎ ［うどん・そうめんるい］ てのべそうめん・てのべひやむぎ いぬい,312.0,9.3,1.5,68.9,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,こむぎ ［うどん・そうめんるい］ てのべそうめん・てのべひやむぎ ゆで,119.0,3.5,0.6,25.5,0.0
こむぎ　［中華めん類］　中華めん　生,こむぎ ［ちゅうかめんるい］ ちゅうかめん なま,249.0,8.6,1.2,55.7,0.0
こむぎ　［中華めん類］　中華めん　ゆで,こむぎ ［ちゅうかめんるい］ ちゅうかめん ゆで,133.0,4.9,0.6,29.2,0.0
こむぎ　［中華めん類］　半生中華めん,こむぎ ［ちゅうかめんるい］ はんせいちゅうかめん,305.0,9.9,4.0,61.2,0.0
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,こむぎ ［ちゅうかめんるい］ むしちゅうかめん むしちゅうかめん,162.0,4.9,1.7,35.6,0.0
こむぎ　［中華めん類］　蒸し中華めん  ソテー,こむぎ ［ちゅうかめんるい］ むしちゅうかめん そてー,211.0,5.2,4.9,38.9,0.0
こむぎ　［中華めん類］　干し中華めん　乾,こむぎ ［ちゅうかめんるい］ ほしちゅうかめん いぬい,337.0,11.7,1.6,70.2,0.0
こむぎ　［中華めん類］　干し中華めん　ゆで,こむぎ ［ちゅうかめんるい］ ほしちゅうかめん ゆで,131.0,4.9,0.5,27.5,0.0
こむぎ　［中華めん類］　沖縄そば　生,こむぎ ［ちゅうかめんるい］ おきなわそば なま,266.0,9.2,2.0,54.2,0.0
こむぎ　［中華めん類］　沖縄そば　ゆで,こむぎ ［ちゅうかめんるい］ おきなわそば ゆで,132.0,5.2,0.8,28.0,0.0
こむぎ　［中華めん類］　干し沖縄そば　乾,こむぎ ［ちゅうかめんるい］ ほしおきなわそば いぬい,317.0,12.0,1.7,67.8,0.0
こむぎ　［中華めん類］　干し沖縄そば　ゆで,こむぎ ［ちゅうかめんるい］ ほしおきなわそば ゆで,132.0,5.2,0.6,28.6,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,こむぎ ［そくせきめんるい］ そくせきちゅうかめん あぶらあげあじつけ,424.0,10.1,16.7,63.5,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん あぶらあげ いぬい （てんぷちょうみりょうなどをふくむもの）,439.0,10.1,19.1,61.4,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん あぶらあげ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,100.0,2.3,4.4,13.4,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん あぶらあげ ゆで （てんぷちょうみりょうなどをふくまないもの）,189.0,3.9,7.7,27.9,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん あぶらあげ いぬい （てんぷちょうみりょうなどをふくまないもの）,453.0,8.9,19.6,65.5,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん ひあぶらあげ いぬい （てんぷちょうみりょうなどをふくむもの）,336.0,10.3,5.2,67.1,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん ひあぶらあげ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,93.0,3.0,0.8,18.7,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん ひあぶらあげ ゆで （てんぷちょうみりょうなどをふくまないもの）,139.0,3.4,0.8,31.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,こむぎ ［そくせきめんるい］ そくせきちゅうかめん ひあぶらあげ いぬい （てんぷちょうみりょうなどをふくまないもの）,334.0,8.5,1.9,75.2,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しおあじ いぬい （てんぷちょうみりょうなどをふくむもの）,422.0,10.9,18.5,58.6,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しおあじ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,92.0,2.5,4.2,13.2,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しおあじ ちょうりごのめん （すーぷをのこしたもの）,175.0,3.8,7.7,25.2,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しょうゆあじ いぬい （てんぷちょうみりょうなどをふくむもの）,417.0,10.0,19.1,54.6,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しょうゆあじ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,90.0,2.3,4.5,12.9,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ しょうゆあじ ちょうりごのめん （すーぷをのこしたもの）,142.0,3.0,5.8,20.7,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ やきそば いぬい （てんぷちょうみりょうなどをふくむもの）,418.0,8.2,18.6,57.5,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん あぶらあげ やきそば ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,222.0,5.0,11.3,34.2,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん ひあぶらあげ いぬい （てんぷちょうみりょうなどをふくむもの）,314.0,9.2,5.8,62.6,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん ひあぶらあげ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,66.0,2.5,2.1,10.2,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,こむぎ ［そくせきめんるい］ ちゅうかすたいるそくせきかっぷめん ひあぶらあげ ちょうりごのめん （すーぷをのこしたもの）,121.0,3.4,1.3,25.3,0.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ わふうすたいるそくせきかっぷめん あぶらあげ いぬい （てんぷちょうみりょうなどをふくむもの）,437.0,10.9,19.8,56.1,0.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ ［そくせきめんるい］ わふうすたいるそくせきかっぷめん あぶらあげ ちょうりごぜんたい （てんぷちょうみりょうなどをふくむもの）,91.0,2.2,4.7,11.2,0.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,こむぎ ［そくせきめんるい］ わふうすたいるそくせきかっぷめん あぶらあげ ちょうりごのめん （すーぷをのこしたもの）,163.0,2.7,7.2,24.4,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,こむぎ ［まかろに・すぱげってぃるい］ まかろに・すぱげってぃ いぬい,347.0,12.9,1.8,73.1,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,こむぎ ［まかろに・すぱげってぃるい］ まかろに・すぱげってぃ ゆで,150.0,5.8,0.9,32.2,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,こむぎ ［まかろに・すぱげってぃるい］ まかろに・すぱげってぃ そてー,186.0,5.5,5.8,30.5,0.0
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,こむぎ ［まかろに・すぱげってぃるい］ なまぱすた なま,232.0,7.8,1.9,46.9,0.0
こむぎ　［ふ類］　生ふ,こむぎ ［ふるい］ なまふ,161.0,12.7,0.8,26.2,0.0
こむぎ　［ふ類］　焼きふ　釜焼きふ,こむぎ ［ふるい］ やきふ かまやきふ,357.0,28.5,2.7,56.9,0.0
こむぎ　［ふ類］　焼きふ　板ふ,こむぎ ［ふるい］ やきふ いたふ,351.0,25.6,3.3,57.3,0.0
こむぎ　［ふ類］　焼きふ　車ふ,こむぎ ［ふるい］ やきふ くるまふ,361.0,30.2,3.4,54.2,0.0
こむぎ　［ふ類］　油ふ,こむぎ ［ふるい］ あぶらふ,547.0,22.7,35.3,34.4,0.0
こむぎ　［その他］　小麦はいが,こむぎ ［そのた］ こむぎはいが,391.0,32.0,11.6,48.3,0.0
こむぎ　［その他］　小麦たんぱく　粉末状,こむぎ ［そのた］ こむぎたんぱく ふんまつじょう,398.0,72.0,9.7,10.6,0.0
こむぎ　［その他］　小麦たんぱく　粒状,こむぎ ［そのた］ こむぎたんぱく りゅうじょう,101.0,20.0,2.0,1.8,0.0
こむぎ　［その他］　小麦たんぱく　ペースト状,こむぎ ［そのた］ こむぎたんぱく ぺーすとじょう,145.0,25.0,4.1,3.9,0.0
こむぎ　［その他］　かやきせんべい,こむぎ ［そのた］ かやきせんべい,359.0,10.6,1.9,75.1,0.0
こむぎ　［その他］　ぎょうざの皮　生,こむぎ ［そのた］ ぎょうざのかわ なま,275.0,9.3,1.4,57.0,0.0
